Time (min),Inflow (cfs)
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0.1
60,0.1
65,0.1
70,0.1
75,0.2
80,0.2
85,0.3
90,0.3
95,0.4
100,0.5
105,0.5
110,0.6
115,0.7
120,0.8
125,0.9
130,1
135,1.1
140,1.2
145,1.3
150,1.4
155,1.5
160,1.7
165,1.8
170,1.9
175,2
180,2.2
185,2.3
190,2.4
195,2.5
200,2.6
205,2.8
210,2.9
215,3
220,3.1
225,3.2
230,3.3
235,3.4
240,3.5
245,3.6
250,3.7
255,3.8
260,3.9
265,4
270,4
275,4.1
280,4.2
285,4.3
290,4.4
295,4.5
300,4.5
305,4.6
310,4.7
315,4.7
320,4.8
325,4.9
330,5
335,5
340,5.1
345,5.1
350,5.2
355,5.3
360,5.3
365,5.4
370,5.4
375,5.5
380,5.6
385,5.6
390,5.7
395,5.7
400,5.8
405,5.8
410,5.9
415,5.9
420,6
425,6
430,6.1
435,6.1
440,6.2
445,6.2
450,6.3
455,6.3
460,6.4
465,6.4
470,6.4
475,6.5
480,6.5
485,6.6
490,6.6
495,6.7
500,6.7
505,6.7
510,6.8
515,6.8
520,6.9
525,6.9
530,7
535,7
540,7
545,7.1
550,7.1
555,7.2
560,7.2
565,7.2
570,7.3
575,7.3
580,7.3
585,7.4
590,7.4
595,7.5
600,7.5
605,7.5
610,7.6
615,7.6
620,7.7
625,7.7
630,7.7
635,7.8
640,7.8
645,7.9
650,7.9
655,7.9
660,8
665,8
670,8
675,8.1
680,8.1
685,8.2
690,8.2
695,8.2
700,8.3
705,8.3
710,8.4
715,8.4
720,8.5
725,8.5
730,8.5
735,8.6
740,8.6
745,8.7
750,8.7
755,8.7
760,8.8
765,8.8
770,8.9
775,8.9
780,9
785,9.1
790,9.1
795,9.2
800,9.2
805,9.3
810,9.4
815,9.4
820,9.5
825,9.6
830,9.7
835,9.8
840,9.8
845,9.9
850,10
855,10.1
860,10.2
865,10.3
870,10.4
875,10.5
880,10.6
885,10.8
890,10.9
895,11.1
900,11.3
905,11.6
910,11.8
915,12.2
920,12.5
925,13
930,13.5
935,14
940,14.6
945,15.3
950,16.1
955,16.9
960,17.8
965,18.9
970,20
975,21.1
980,22.4
985,23.8
990,25.3
995,26.8
1000,28.5
1005,30.2
1010,32.1
1015,34
1020,36
1025,38.1
1030,40.3
1035,42.6
1040,45
1045,47.4
1050,49.9
1055,52.5
1060,55.2
1065,58
1070,60.8
1075,63.7
1080,66.7
1085,69.7
1090,72.9
1095,76.1
1100,79.4
1105,82.8
1110,86.3
1115,89.9
1120,93.7
1125,97.6
1130,101.6
1135,105.8
1140,110.2
1145,114.8
1150,119.5
1155,124.4
1160,129.6
1165,134.9
1170,140.4
1175,146.2
1180,152.1
1185,158.3
1190,164.7
1195,171.3
1200,178.2
1205,185.2
1210,192.5
1215,200
1220,207.7
1225,215.6
1230,223.8
1235,232.1
1240,240.6
1245,249.4
1250,258.3
1255,267.5
